[18:20:21:718753 +02:00] [Thread 19284]  Performed Query 1 - 60475 - UPDATE players SET name = 'Prof Bildungsstop', xp = 29000, level = 5, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:20:21:829542 +02:00] [Thread 19284]  Performed Query 1 - 60475 - UPDATE players SET name = 'Prof Bildungsstop', xp = 30000, level = 5, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:25:37:809410 +02:00] [Thread 23244]  Performed Query 1 - 375743 - SHOW PROCESSLIST
[18:25:37:809459 +02:00] [Thread 21452]  SINGLE RETURN ARRIVED - [4,"root","localhost:31131","koth","Sleep",15,"","",0]
[18:25:37:809496 +02:00] [Thread 23244]  Finished Query - SHOW PROCESSLIST - with return - [4,"root","localhost:31131","koth","Sleep",15,"","",0]
[18:26:11:714905 +02:00] [Thread 21452]  Performed Query 1 - 375743 - SELECT id FROM players WHERE playerid = '76561198216442289'
[18:26:11:935661 +02:00] [Thread 23244]  SINGLE RETURN ARRIVED - [3]
[18:26:11:935707 +02:00] [Thread 21452]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[18:26:11:935901 +02:00] [Thread 23244]  Performed Query 1 - 375743 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[18:26:12:157657 +02:00] [Thread 21452]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,5,10,0,0,0]
[18:26:12:157705 +02:00] [Thread 23244]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,5,10,0,0,0]
[18:26:22:104122 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 1000, level = 1, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:33:831053 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 2000, level = 2, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:40:596480 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 102000, level = 3, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:47:419092 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 202000, level = 14, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:47:642081 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 302000, level = 19, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:53:794826 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 402000, level = 22, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:54:018447 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 502000, level = 25, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:54:196467 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 602000, level = 27, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:54:459058 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 702000, level = 29, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:54:704195 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 802000, level = 31, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:26:54:928497 +02:00] [Thread 21452]  Performed Query 1 - 375743 - UPDATE players SET name = 'Prof Bildungsstop', xp = 902000, level = 33, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:28:06:257544 +02:00] [Thread 21452]  Performed Query 1 - 375743 - SELECT id FROM players WHERE playerid = '76561198216442289'
[18:28:06:476074 +02:00] [Thread 23244]  SINGLE RETURN ARRIVED - [3]
[18:28:06:476093 +02:00] [Thread 21452]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
